Topology	T2	T1
ABC	0.859253764153	1.502692937851
ABC	0.644500315189	1.91639688611
ABC	0.714604258537	3.524150788784
ABC	0.991684734821	1.779435753822
ABC	1.080800533295	1.741667866707
ABC	1.209045410156	1.583537340164
ABC	0.758839786053	1.955895870924
ABC	0.794466197491	1.5886721611025
ABC	1.531267046928	1.626296639442
ABC	1.243326663971	1.664026975632
ACB	2.042955875397	2.3035051822665
BCA	1.702102661133	2.550281524658
ABC	0.684137761593	1.935317724943
ABC	1.560433030128	1.831172227859
ABC	1.626279830933	2.5979318618775
ABC	0.674158453941	1.819182038307
ABC	1.317025780678	1.5364220142365
ABC	0.925887346268	1.508926033974
ABC	1.244882106781	1.492078185081
BCA	1.580743670464	2.1179497241975
ABC	0.728668451309	1.631576299667
ACB	1.779515385628	2.3913826942445
BCA	1.706799268723	3.0300846099855
ABC	1.559115767479	2.969141244888
ACB	1.851081371307	2.949431657791
ABC	0.734549820423	2.0370934307575
ABC	1.559846520424	1.943223834038
ABC	1.039210319519	1.919296503067
ABC	0.959540724754	1.4608719348905
ABC	0.789971590042	1.565998196602
ABC	1.023009181023	1.479255080223
ABC	0.608849346638	1.7642591297625
ACB	1.547851800919	2.193972826004
ABC	1.101152062416	2.460041046143
BCA	1.528008460999	1.571009039879
ABC	0.685420274734	1.9626435041425
BCA	1.613003492355	2.418709993362
ABC	0.569491922855	1.7604351937765
ACB	1.996145486832	2.3290481567385
ABC	1.275873780251	2.1068270206455
ABC	0.602681219578	1.909070044756
ABC	1.003826498985	1.555718421936
ABC	0.871091604233	2.158220052719
ABC	0.638444364071	2.6486391723155
ABC	0.63912320137	2.001535654068
ABC	0.627467632294	1.5329270362855
ABC	0.904532253742	2.406456261873
ABC	1.74965929985	1.920632600784
ABC	0.994871556759	2.6869127452375
ABC	1.272899746895	1.628133058548
ABC	0.666892051697	2.043825387955
ABC	0.79581040144	2.3929464519025
ABC	1.037210345268	2.108780860901
ABC	0.709651648998	1.6682003736495
ABC	0.616072952747	3.0231552422045
ABC	0.657286405563	1.672383904457
ACB	1.804520726204	2.205935001373
ABC	0.714771926403	1.468570232391
ABC	0.687207221985	1.494668364525
BCA	1.508574724197	2.2215592861175
ABC	1.226519584656	1.928891539574
ACB	1.70330965519	2.5661709308625
BCA	1.740427732468	2.7008981704715
ABC	0.579653382301	1.4915986061095
ABC	0.851726710796	1.9023616015905
ABC	0.827394783497	3.4875641167165
ABC	0.899924039841	1.475391626358
ABC	1.026278734207	1.5724346637725
ABC	0.96808129549	1.856395602226
ABC	1.109254717827	1.56852889061
ABC	0.749853432178	2.283969432115
ABC	0.621487796307	1.958909481764
ABC	0.861627519131	2.127190321684
ABC	0.873202323914	1.497446537018
ACB	1.599364757538	2.13293671608
ABC	0.772770762444	3.401095211506
ABC	0.654582381248	1.804230093956
BCA	1.575978159904	1.695320010185
ABC	0.926893472672	1.5714267492295
ABC	0.68915438652	2.002570867538
ABC	0.570483922958	1.878963112831
ABC	0.689794480801	1.473919153214
ABC	0.571932733059	2.0110375583175
ABC	0.666931331158	1.5220410823825
ABC	1.353236556053	1.901680231094
ABC	1.052703738213	2.3950426578525
ABC	0.881737351418	3.9653674960135
ABC	0.640141963959	2.174608230591
ABC	1.320160508156	1.511741876602
ABC	0.639754652977	1.482996940613
ACB	1.459769368172	3.5494753718375
ACB	1.462868094444	1.525557518005
ABC	0.743677794933	1.51803278923
ABC	1.067393302917	2.1229388713835
ABC	2.506787061691	2.522611379623
ABC	1.059708714485	2.6460309028625
ABC	0.957386493683	1.542022585869
ABC	1.394793391228	1.9778668880465
ABC	0.729329168797	1.9573710262775
ABC	0.601530134678	1.460948705673
ABC	0.910137474537	2.0366137325765
ABC	0.675112724304	2.208941698074
ABC	0.838691711426	2.186602592468
ABC	0.842101097107	2.574136734009
ABC	1.140986323357	1.7121196985245
ABC	0.569151341915	2.077971190214
BCA	1.632425069809	1.720349788666
ABC	0.808385908604	1.9747081100945
ACB	1.72981441021	1.8460458517075
ABC	0.603976547718	1.483160734177
ABC	0.811817169189	1.6340948343275
ABC	1.504929184914	1.5624796152115
ABC	0.611771404743	1.7183805406095
ABC	0.582265675068	2.5554902851585
ABC	0.607479274273	1.572515130043
ABC	0.7537342906	1.8365442454815
ABC	0.659192621708	2.2938859760765
ABC	0.676628828049	1.6722885370255
ABC	0.903832256794	1.650866031647
ABC	0.811909735203	1.548003077507
ABC	0.794212698936	2.3545715808865
ABC	1.492210507393	1.654637098312
ABC	0.8631529212	1.55188202858
ABC	1.010303139687	1.5382671356205
ABC	1.035498261452	1.516418218613
ABC	1.12690114975	1.4807900190355
ACB	1.5850918293	1.7477897405625
ABC	1.031377315521	1.496178627014
ABC	1.292720317841	2.3793184757235
ACB	1.481494069099	2.968529462814
ABC	0.999674379826	1.7711155414585
ABC	1.037403225899	1.52275288105
ABC	0.826277315617	2.1104042828085
ABC	0.911435961723	4.3600568175315
ABC	1.161335229874	2.398828268051
ACB	1.622476696968	2.009233236313
ABC	0.81715542078	2.307561904192
ABC	0.792895376682	1.855006247759
